QA_ITEM_DSCREP_ID,QA_INSP_ITEM_ID,VEH_SER_NO,LOC,FOUND_INSP_TEAM,RESP_INSP_OPRUNT,RESP_INSP_TEAM,INSP_ITEM,CHKLST_VER_NO,INSP_DSCREP,INSP_ID,INSP_DSCREP_DESC,INSP_DSCREP_VALUE,SHIFT_CD,RPAR_ID,RPAR_TS,APPR_ID,APPR_TS,REWRK_MNS,DSCREP_DCAPA_VALUE,DCAPA_OVRD_INDC,PROD_AUD_SCORE,RTG_CLIP_INDC,INSP_COMT_ID1,INSP_COMT_ID2,INSP_COMT_ID3,TS_LOAD,TS_LAST_UPDT,INSP_COMT,REWRK_NOTES
27149341,24614747,JA7264,017,711,NULL,NULL,5007,2,007,dwcapps   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 09:04:12.903,2016-05-26 09:04:12.903,lower rad. hose clamp bracket missing bolts,NULL
27149404,24614808,JB0978,017,711,NULL,NULL,9999,0,999,waltch1   ,CLEAR DISCREP       ,0,1,NULL,NULL,waltch1   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:15:13.077,2016-05-26 09:15:13.077,NULL,NULL
27149551,24614950,JB3860,017,711,NULL,NULL,9999,0,999,jupfohl   ,CLEAR DISCREP       ,0,1,NULL,NULL,jupfohl   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:38:30.003,2016-05-26 09:38:30.003,NULL,NULL
27149573,24614971,HZ3836,017,711,NULL,NULL,4829,2,012,waltch1   ,INTERFERENCE        ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 09:43:07.997,2016-05-26 09:43:07.997,LHS FRAME RAIL BOLT HITTING CROSS MEMBER BRACKET,MARKED WITH TAPE,NULL
27149581,24614977,HZ3836,017,711,NULL,NULL,4553,2,008,waltch1   ,IMPROPERLY CLAMPED  ,0,1,NULL,NULL,waltch1   ,2016-05-26 09:45:44.803,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 09:44:12.093,2016-05-26 09:45:44.720,UBOLTS NOT PROPERLY TORQUED,NULL
27149637,24615032,JA8801,017,107,NULL,NULL,8623,1,011,willdav   ,WRG ADJUSTMENT      ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:50:47.563,2016-05-26 09:50:47.563,R/H OUT AT BTM RESR,NULL
27149663,24608290,JA8801,017,107,NULL,NULL,4619,1,017,willdav   ,DENTS               ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:54:36.717,2016-05-26 09:54:36.717,DENT R/H   B PILLAR,NULL
27149683,24615073,JA8801,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:56:40.387,2016-05-26 09:56:40.387,CAB,NULL
27149699,24615088,JB9001,017,107,NULL,NULL,5601,1,001,willdav   ,MISSING             ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:58:35.737,2016-05-26 09:58:35.737,CAB,NULL
27149704,24606541,JB9001,017,107,NULL,NULL,4619,1,021,willdav   ,IMPROPERLY SEALED   ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 09:59:15.553,2016-05-26 10:01:01.077,VOID IN PVC L/H GUTTER AT FRONT,NULL
27149738,24606541,JB9001,017,107,NULL,NULL,4619,1,016,willdav   ,FIT                 ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 10:02:11.867,2016-05-26 10:02:11.867,REMOVE BOC SUPPORT TO SHIP,NULL
27149764,24615150,JB9001,017,107,NULL,NULL,8623,1,011,willdav   ,WRG ADJUSTMENT      ,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 10:04:47.870,2016-05-26 10:04:47.870,R/H DOOR NOT CENTETED IN FRAME,NULL
